condition,value,count,mean_1h,median_1h,std_1h,positive_pct_1h,samples_1h,mean_6h,median_6h,std_6h,positive_pct_6h,samples_6h,mean_24h,median_24h,std_24h,positive_pct_24h,samples_24h
sentiment,BULLISH,95,0.21226103943335156,0.09848020706514779,1.455355872282035,56.25,64,0.014117997394102291,-0.16992284487808934,2.4794074464985796,50.0,28.0,-0.8761197501241066,-0.6091278259288414,3.3013761444052743,39.62264150943396,53
sentiment,BEARISH,6,-0.833819880309453,-0.833819880309453,,0.0,1,,,,,,1.33557144942343,1.33557144942343,,100.0,1
sentiment,NEUTRAL,23,1.6481006301512284,1.6481006301512284,0.15696265201070336,100.0,2,3.487786201210243,3.487786201210243,2.191737587859837,100.0,2.0,8.47044485070079,8.47044485070079,,100.0,1
