condition,value,count,mean_1h,median_1h,std_1h,positive_pct_1h,samples_1h,mean_6h,median_6h,std_6h,positive_pct_6h,samples_6h,mean_24h,median_24h,std_24h,positive_pct_24h,samples_24h
topic_category,PRODUCT,61,0.10665171599448776,0.0858915221886374,1.4909973023293903,52.63157894736842,38,0.3493907847294884,0.08058457501798516,2.059671359449493,50.0,16,-0.5889960515159562,-0.6091278259288414,3.369323750851378,41.17647058823529,34
topic_category,MANUFACTURING,8,0.2109560528379257,0.1110688919416582,0.8362194633003607,71.42857142857143,7,-3.029680429154647,-3.029680429154647,2.2776050783402093,0.0,2,-1.2591303344455147,-1.1295904894507809,2.562703036439523,25.0,4
topic_category,TECHNOLOGY,19,0.047625299402238336,0.35602987324385,1.200641311727481,60.0,10,-0.2141429309044535,-0.4180411784779804,1.1144251208608644,40.0,5,-0.7145759163691677,-1.1840807751824776,1.9909663988043325,37.5,8
topic_category,FINANCIAL,7,1.7512020659555292,1.2760548341904998,2.592153723335264,75.0,4,0.2621821460113691,1.1689929413267832,5.928728070016451,66.66666666666666,3,-3.5832942069763245,-3.5832942069763245,6.95632652277177,50.0,2
topic_category,SAFETY,12,0.4798390397781912,0.4300751879699268,1.0995162816781727,60.0,5,1.0288580454712026,1.0703849574387003,0.9305942729879307,100.0,3,-2.1371465640602296,0.2241201768732234,6.034737984329371,66.66666666666666,3
topic_category,OTHER,16,0.2124579564453437,-0.2878962361355371,1.3669532296103912,33.33333333333333,3,5.03757871216738,5.03757871216738,,100.0,1,1.9321730174894571,0.36322181174729434,4.513891675592808,50.0,4
